 "Ndis", "ApproxLux"
  6775,     9.4297
  6778,     9.4215
  6811,     9.3327
  6801,     9.3595
  6796,     9.3729
  6815,     9.3220
  6815,     9.3220
  6804,     9.3514
  6823,     9.3007
  6845,     9.2425
  6817,     9.3167
  6835,     9.2689
  6860,     9.2032
  6834,     9.2716
  6622,     9.8592
  5077,    16.5514
  4917,    17.6179
  2139,    89.3013
  2147,    88.6536
  2141,    89.1387
  2145,    88.8149
  2155,    88.0130
  2149,    88.4928
  2150,    88.4126
  2153,    88.1725
  1301,   235.4660
   897,   486.2099
   888,   495.8653
  2084,    93.9547
  2086,    93.7791
  2087,    93.6915
  2092,    93.2553
  2087,    93.6915
  2090,    93.4294
  2095,    92.9951
  7190,     8.3975
  6905,     9.0866
  6976,     8.9071
  9058,     5.3525
588535,     0.0016
755195,     0.0010
820129,     0.0008
859952,     0.0007
885310,     0.0007
900916,     0.0007
909231,     0.0007
925349,     0.0006
929396,     0.0006
 48358,     0.2042
  5721,    13.1129
  5755,    12.9623
